id,node1,node2,is_linked,max_flow
268,5214,6799,0,1
269,283,3007,1,3
270,1199,7266,0,2
271,5132,5987,0,1
272,2718,6903,0,1
273,298,7286,0,1
274,955,3115,0,2
275,773,2827,0,1
276,2087,3113,0,2
277,5560,6868,1,15
278,3652,3809,1,1
279,5196,7310,0,1
280,1078,6881,0,1
281,2908,4182,1,1
282,4725,7012,1,2
283,6445,6508,1,2
284,217,782,1,1
285,2986,5545,1,1
286,2937,7280,0,1
287,1262,5214,0,1
288,1012,6972,1,1
289,1626,5492,0,1
290,1154,7225,0,1
291,437,3705,1,6
292,164,1681,0,3
293,2082,5624,1,3
294,683,7301,0,1
295,3373,6516,0,2
296,4298,5928,0,1
297,366,3972,0,1
298,2529,3960,1,4
299,3349,6580,1,1
300,1995,5813,1,2
301,1503,4439,0,1
302,2324,2353,0,1
303,3712,5811,1,6
304,1908,6057,0,1
305,2066,3173,0,1
306,1704,5769,1,1
307,3373,7110,1,6
308,3035,4643,0,1
309,1760,2000,0,1
310,966,7507,0,1
311,5018,5891,0,1
312,3522,3809,1,1
313,178,1724,1,1
314,3003,6548,0,1
315,735,3902,1,2
316,4,6378,1,2
317,1815,4294,1,4
318,1222,2716,0,1
319,1914,4569,1,1
320,2055,6139,1,2
321,490,3787,1,1
322,1126,4200,1,1
323,3141,5219,1,5
324,10,2019,1,4
325,658,5624,1,7
326,1626,6812,1,3
327,1393,4089,1,1
328,1567,6376,0,1
329,1024,1884,0,1
330,1689,6164,1,1
331,2013,6603,1,4
332,5610,6484,0,1
333,690,2171,1,3
334,552,5332,0,2
335,1157,5019,1,4
336,1576,1915,1,1
337,2994,3965,1,3
338,2007,5679,1,4
339,1749,7479,1,7
340,1384,6114,1,1
341,242,6082,1,1
342,1941,6559,1,1
343,1156,5490,0,1
344,2051,2240,0,1
345,1386,5151,0,1
346,1999,7143,0,1
347,3382,5209,1,2
348,512,1365,0,1
349,2699,2800,0,1
350,7044,7584,1,2
351,3138,7190,1,7
352,382,3994,0,1
353,2800,3341,1,1
354,1289,2823,0,1
355,1686,7306,1,2
356,1508,3198,0,1
357,285,7493,1,1
358,2140,2435,0,3
359,1774,3721,1,2
360,329,1290,1,1
361,1636,5636,1,2
362,2026,2265,0,1
363,3860,7560,1,2
364,1737,6146,1,1
365,6768,7377,0,1
366,908,1793,1,3
367,237,7231,0,1
368,5264,7445,0,1
369,5544,6284,1,2
370,902,6386,1,6
371,849,5730,0,2
372,2640,7223,1,11
373,2187,5762,1,1
374,188,5171,0,4
375,1897,3313,0,1
376,4451,6795,0,1
377,2963,3314,1,6
378,857,7571,1,7
379,5913,6416,1,3
380,5391,6515,1,1
381,4029,4677,0,1
382,1340,1727,1,1
383,485,623,1,1
384,386,6327,0,1
385,1576,2119,1,3
386,30,3387,0,1
387,3557,5513,1,1
388,291,4056,1,2
389,317,5869,1,1
390,1125,5464,1,1
391,4777,7298,1,1
392,4688,7272,1,3
393,1558,2010,0,1
394,6508,7560,1,6
395,361,4879,1,2
396,10,6133,0,1
397,2676,6997,1,1
398,3768,6108,1,1
399,1349,6716,0,1
400,708,2661,1,1
401,2191,2999,0,1
402,1820,6437,0,1
403,836,2957,1,16
404,5780,6503,1,1
405,4047,6542,1,2
406,5227,6928,1,1
407,1125,2755,0,1
408,1275,2675,0,1
409,286,6700,1,3
410,6135,6337,0,1
411,4033,4317,0,1
412,1336,3009,0,1
413,743,4628,0,1
414,2187,4938,1,6
415,4187,6464,1,2
416,5631,5880,0,1
417,1782,5192,0,1
418,1053,1214,0,1
419,3485,3565,0,1
420,3728,4705,0,1
421,4585,6906,0,2
422,1363,1874,1,2
423,4306,7222,0,1
424,1745,2807,1,4
425,1681,3314,1,11
426,739,4815,0,1
427,474,7117,0,2
428,993,4127,1,7
429,1666,3764,0,1
430,265,7290,1,1
431,3389,5184,0,1
432,1361,6442,1,4
433,87,3809,1,6
434,896,6374,0,1
435,3825,5132,1,1
436,2222,4873,1,1
437,687,874,0,1
438,2964,4589,0,1
439,64,2763,0,1
440,2351,6416,1,2
441,1441,6416,0,1
442,315,3119,1,2
443,4025,7000,1,2
444,2277,3925,0,1
445,597,4013,0,1
446,1672,3300,1,10
447,74,451,0,1
448,1200,3809,1,1
449,2367,3285,0,1
450,320,1842,1,3
451,125,3944,0,1
452,1818,7309,1,2
453,508,2632,1,4
454,1927,4583,0,1
455,2363,5997,0,2
456,5445,7103,1,4
457,5085,6046,0,1
458,2337,2360,1,3
459,879,3543,1,4
460,4947,5630,1,2
461,5634,5913,0,1
462,2504,5462,1,4
463,888,3157,0,1
464,2083,5408,0,1
465,5658,7334,0,2
466,491,2556,1,1
467,283,5303,0,1
468,318,5808,0,1
469,2500,4019,1,1
470,3542,6258,1,1
471,3810,6057,0,1
472,1314,4749,0,1
473,3604,5655,0,1
474,1481,7165,0,1
475,1814,2521,1,1
476,4383,7279,0,1
477,5634,7309,1,1
478,3787,5969,0,2
479,3178,7040,1,3
480,4864,7438,1,1
481,1590,5609,0,1
482,4070,4125,0,1
483,3447,4397,0,1
484,1048,5184,0,1
485,3058,7134,0,1
486,908,1292,0,1
487,1114,4783,0,1
488,3724,4616,0,1
489,1460,7514,1,1
490,1729,3719,1,1
491,1372,3809,1,7
492,3303,7434,0,1
493,670,6323,1,1
494,913,2460,0,1
495,1234,6359,0,1
496,1349,2277,0,1
497,2486,4471,0,1
498,2786,5317,1,2
499,840,7190,1,7
500,1370,4201,1,5
501,364,4195,0,2
502,2084,4759,0,1
503,4157,5984,0,2
504,3305,5211,1,5
505,3187,6904,0,1
506,2218,3760,1,1
507,191,6320,0,1
508,4016,6663,1,2
509,739,3809,1,1
510,5041,6536,0,1
511,2016,3849,1,1
512,3634,3809,1,2
513,1169,6379,0,2
514,2970,4161,1,4
515,954,5383,1,2
516,2425,5271,0,1
517,1493,5914,1,2
518,5375,6024,1,3
519,4956,6433,1,2
520,1216,2397,0,1
521,1513,6338,0,1
522,2419,6564,0,3
523,331,361,1,5
524,361,4195,1,2
525,3035,6879,1,1
526,3298,6636,0,1
527,408,4187,1,4
528,2959,7310,1,1
529,2494,4299,1,2
530,1682,6121,0,1
531,1006,6102,0,1
532,1377,5411,0,1
533,6900,7042,0,1
534,2782,5462,0,1
535,2706,4364,0,1
536,538,1388,1,1
537,4466,5473,0,1
538,2115,6924,1,3
539,835,2977,0,1
540,280,6374,1,2
541,1656,7207,1,1
542,3315,6530,1,1
543,238,6961,1,1
544,434,4692,1,5
545,2300,3089,0,1
546,813,3440,0,1
547,583,7284,0,1
548,2521,5398,0,1
549,6,7116,1,2
550,815,2360,1,4
551,2909,5722,0,1
552,2675,7209,0,1
553,5515,6666,0,1
554,485,1914,1,2
555,5405,6195,0,1
556,1650,4517,1,1
557,616,4996,1,2
558,347,6879,1,1
559,1222,2930,0,1
560,1391,7279,1,1
561,1721,2420,0,1
562,4910,6284,0,1
563,2031,6580,0,1
564,5763,7560,1,6
565,233,4216,0,1
566,2231,6054,0,1
567,2296,4425,0,1
568,2254,3652,0,1
569,782,5634,0,1
570,1650,1682,0,1
571,164,3817,0,1
572,1240,5035,0,2
573,2026,7040,1,1
574,2947,7333,0,1
575,566,917,0,1
576,2668,4299,0,1
577,2905,5846,0,2
578,5482,6807,0,1
579,2202,6416,1,1
580,2310,3809,1,4
581,3087,6098,1,2
582,444,4724,1,1
583,5914,6499,1,1
584,653,3167,0,1
585,2437,5014,0,1
586,1904,5039,1,2
587,144,6027,0,1
588,4308,7290,0,1
589,506,5794,1,1
590,1161,2848,0,1
591,5486,6917,0,3
592,23,161,1,1
593,171,738,0,1
594,2253,3639,1,4
595,1316,3574,0,1
596,5288,5475,0,1
597,2304,4504,1,2
598,241,3363,0,1
599,6034,6038,1,1
600,6265,6317,1,1
601,1743,7116,0,3
602,6320,7082,1,1
603,1525,3467,0,1
604,2729,3809,1,1
605,1134,3544,1,1
606,2442,7021,1,4
607,504,504,1,0
608,11,6230,1,5
609,796,2726,1,1
610,3380,3724,0,2
611,3757,4127,1,5
612,1395,4422,1,1
613,649,3809,1,1
614,801,4386,0,1
615,46,2538,0,1
616,1349,6784,0,1
617,1820,2812,0,1
618,2172,3304,1,5
619,395,4182,1,3
620,1907,4670,0,1
621,2063,3809,1,1
622,427,3677,1,3
623,3878,4357,0,1
624,2680,4966,0,1
625,408,3544,1,4
626,7064,7444,1,1
627,1751,3568,1,4
628,6259,6965,0,1
629,574,1490,1,2
630,5937,7322,0,1
631,2013,4257,1,10
632,3097,6551,1,1
633,2780,3809,1,3
634,1013,1143,1,3
635,3560,4144,0,2
636,2638,3072,0,1
637,6235,7105,1,3
638,1779,5969,1,1
639,3860,7174,1,2
640,395,2402,0,3
641,1171,4125,0,1
642,1681,2308,0,1
643,1000,3426,0,1
644,867,6888,1,2
645,1263,3820,1,2
646,3517,5803,0,1
647,7306,7380,0,1
648,87,1447,1,1
649,3822,6308,0,1
650,74,1844,0,1
651,2013,7190,1,11
652,4056,4221,1,2
653,350,3930,0,1
654,1473,1896,0,1
655,5955,6787,0,2
656,244,1376,0,1
657,819,2943,0,1
658,2490,5792,1,4
659,3249,4781,1,1
660,1145,5451,0,1
661,2591,6900,1,1
662,367,758,0,1
663,879,6227,1,3
664,2973,6518,1,4
665,3247,7380,0,1
666,2345,5997,0,1
667,3000,5560,1,2
668,1129,3809,1,2
669,151,3809,1,1
670,6757,7444,1,1
671,2187,2554,1,1
672,1416,3324,1,1
673,3132,5482,0,1
674,6855,6972,1,1
675,1939,4037,1,3
676,3757,7283,1,5
677,879,1580,1,4
678,1180,3051,1,1
679,2937,4642,0,2
680,1536,6120,1,2
681,1114,1417,0,1
682,799,4859,1,1
683,345,6924,1,3
684,2797,4474,1,7
685,2979,6520,1,1
686,10,4236,1,1
687,914,2105,0,1
688,467,4422,1,6
689,2894,6621,0,1
690,1196,2616,1,1
691,2191,5294,1,1
692,3470,5264,1,1
693,3599,4279,1,1
694,1597,6573,0,1
695,2788,3469,1,3
696,432,6386,1,12
697,2241,2744,1,5
698,3976,6603,1,4
699,2227,3589,0,1
700,368,6386,1,8
701,30,7000,1,2
702,1024,3809,1,1
703,2441,7571,1,5
704,3947,4449,0,1
705,1750,2097,0,1
706,4809,5803,1,6
707,5598,6559,1,3
708,4961,7383,1,7
709,549,3417,1,1
710,1989,2043,0,1
711,7377,7560,1,3
712,188,6924,1,7
713,3089,5679,1,6
714,1620,1883,1,2
715,2185,3809,1,2
716,2196,2563,0,1
717,594,4886,0,1
718,1675,3198,0,1
719,189,836,0,2
720,2187,7012,1,3
721,2416,5835,0,1
722,3918,5584,0,1
723,4809,6265,0,3
724,4217,5593,0,1
725,2797,3844,1,1
726,1388,2867,0,1
727,3288,5056,1,1
728,3964,3966,1,3
729,2029,5148,0,1
730,2537,3543,1,1
731,5624,5788,0,4
732,1246,5810,1,1
733,3446,3809,1,2
734,591,4051,0,2
735,2122,5811,1,3
736,699,3313,1,3
737,3806,6979,0,1
738,2019,2569,0,1
739,1512,2760,0,1
740,1686,3647,0,2
741,1137,3032,0,1
742,3741,5279,0,1
743,851,4279,1,10
744,4906,6508,1,2
745,2861,5053,0,1
746,2746,5471,0,1
747,773,7423,0,1
748,2185,7182,1,2
749,6937,7110,1,1
750,2304,3644,0,1
751,5417,7518,1,4
752,5975,6542,0,1
753,3371,6464,0,1
754,1290,5149,1,1
755,2128,2757,0,1
756,4968,5012,0,1
757,1329,3809,1,2
758,5855,7560,0,1
759,2953,7124,1,1
760,913,4488,1,2
761,1480,2462,0,1
762,614,929,0,1
763,3434,4624,0,1
764,2055,6287,1,5
765,1410,3809,1,1
766,299,2848,0,1
767,3799,3960,1,3
768,3031,7444,1,1
769,4643,4733,0,2
770,4723,6218,0,1
771,1549,1952,1,2
772,4533,6111,0,1
773,2520,3001,0,1
774,2514,6941,0,1
775,606,4859,1,4
776,2141,6072,0,1
777,4453,6734,0,2
778,64,960,1,3
779,3994,4310,1,1
780,1756,2323,0,1
781,508,7028,0,1
782,3400,3439,1,3
783,2667,6898,0,1
784,1783,5595,1,1
785,2456,5745,0,2
786,4247,7405,0,1
787,3177,6423,1,3
788,3400,4294,0,2
789,1394,3707,0,2
790,4601,5458,1,1
791,2915,4947,0,3
792,2012,4478,0,1
793,811,4724,0,1
794,1148,6879,1,6
795,744,6090,1,1
796,2171,4921,0,2
797,1409,3472,1,1
798,2098,4125,1,3
799,2987,5857,0,1
800,0,812,1,1
801,4238,6127,0,1
802,72,3826,0,1
803,1133,4687,0,1
804,1157,2514,0,1
805,1013,1276,1,2
806,3724,4372,0,1
807,3387,5384,0,1
808,4164,4616,0,1
809,1826,5069,1,1
810,2300,2514,1,1
811,1639,5712,0,2
812,824,2072,0,1
813,5304,5864,0,1
814,1367,3809,1,1
815,2514,6874,0,1
816,1144,3305,0,1
817,2328,4963,0,1
818,1030,3705,1,8
819,2338,3038,0,1
820,6169,7436,0,1
821,17,930,0,3
822,5142,6135,0,1
823,1738,3809,1,1
824,2816,5778,0,1
825,930,979,0,2
826,846,4531,1,1
827,5359,7166,0,1
828,2605,6480,0,1
829,5571,5712,1,2
830,1024,3328,0,1
831,9,2690,0,1
832,2640,5598,1,3
833,3721,6428,1,2
834,410,5845,0,1
835,3396,5412,0,1
836,227,3600,0,1
837,1510,5499,1,3
838,4485,5410,1,1
839,1170,5171,1,2
840,887,3056,1,2
841,1016,3887,0,2
842,3600,7205,0,2
843,1869,5482,0,1
844,1363,4257,1,9
845,5623,6422,0,3
846,1148,2058,0,6
847,5446,5730,1,2
848,2540,2970,1,7
849,39,7283,1,1
850,3835,6868,1,2
851,352,6843,0,1
852,3860,7561,0,1
853,1682,4679,0,1
854,195,1923,1,2
855,2556,6862,0,1
856,6426,6811,1,3
857,3713,4859,0,9
858,5788,6378,1,4
859,2889,6386,0,3
860,2610,6516,1,2
861,993,6236,0,2
862,1255,6169,1,1
863,874,6924,1,1
864,502,3315,0,1
865,1893,7298,0,1
866,3615,6616,0,1
867,4062,5869,1,1
868,2610,5803,0,2
869,1751,2914,0,1
870,1290,5667,0,1
871,1697,4257,1,3
872,1854,2039,0,1
873,4474,7124,1,7
874,2831,5147,1,1
875,141,5740,0,1
876,4098,7482,1,1
877,1934,3603,0,1
878,1705,5975,1,1
879,951,2531,1,1
880,5658,6924,1,4
881,664,6265,1,3
882,1488,6919,0,4
883,2016,2649,0,1
884,2087,7272,1,2
885,154,1406,0,1
886,5054,5204,1,1
887,2900,3809,1,1
888,1672,7021,0,4
889,5618,7593,0,1
890,4850,6463,1,2
891,2649,3386,0,1
892,1080,7323,0,1
893,3362,5517,1,2
894,2556,6775,0,1
895,683,3166,0,1
896,784,3705,0,1
897,3895,6445,0,1
898,1478,2672,0,1
899,286,6355,1,4
900,1586,1738,0,1
901,1725,3764,0,1
902,887,6961,1,13
903,175,4886,0,1
904,1015,2100,0,2
905,3194,6359,1,4
906,3561,3809,1,1
907,2172,5374,1,3
908,787,1580,1,2
909,1146,5026,1,1
910,1886,5695,1,1
911,238,6648,0,1
912,352,6933,1,1
913,2954,4781,0,1
914,1870,2486,0,1
915,3373,3809,1,6
916,1003,4191,0,1
917,117,2004,0,2
918,307,2039,0,1
919,424,3809,1,1
920,2505,3809,1,1
921,598,7322,0,1
922,1760,3393,0,2
923,2133,6032,0,1
924,3194,5745,1,2
925,5667,5763,1,1
926,2196,2564,0,1
927,3556,6204,0,1
928,1521,2760,0,1
929,1035,3025,0,1
930,1102,3815,0,1
931,1460,4753,0,1
932,311,3047,1,3
933,1784,3666,1,2
934,338,601,1,2
935,1298,5509,0,1
936,2475,3809,1,3
937,4372,6350,0,1
938,215,2259,0,1
939,2168,2331,0,1
940,569,4264,1,1
941,2912,3527,0,1
942,2145,4447,1,1
943,2468,3536,1,1
944,2331,4106,0,1
945,6418,6906,0,1
946,2307,6975,0,1
947,40,2083,1,1
948,2420,4485,0,1
949,2339,6879,1,2
950,644,5141,1,2
951,5189,5464,1,3
952,286,7309,1,9
953,7283,7309,1,13
954,1508,4495,1,1
955,1468,4515,0,1
956,1329,3474,1,1
957,4223,5253,0,1
958,485,2770,1,2
959,2959,7232,1,2
960,2529,5681,0,2
961,2172,7441,0,1
962,4578,6144,0,1
963,1849,2240,1,1
964,3272,6535,0,1
965,839,5521,1,1
966,3415,4104,0,1
967,898,6812,1,3
968,2824,3480,0,1
969,2882,7007,1,1
970,2834,7279,0,1
971,2901,6763,1,5
972,2540,2678,1,4
973,3063,4167,1,1
974,2953,5821,0,1
975,3678,5794,0,1
976,3392,3849,1,1
977,2713,7334,1,1
978,2171,7400,0,1
979,2222,6163,0,1
980,3177,3362,1,3
981,1100,5170,0,1
982,6749,7272,1,1
983,1393,5192,0,1
984,2074,5191,1,1
985,361,5132,1,12
986,2261,2450,1,1
987,4807,7434,0,1
988,3349,3392,0,1
989,1798,3809,1,2
990,3113,5438,1,1
991,1283,3094,0,1
992,32,2640,1,8
993,433,3939,0,2
994,2614,5882,1,3
995,2483,3480,1,1
996,74,6632,0,1
997,4618,6562,0,1
998,573,3164,0,1
999,1290,5896,0,1
1000,386,3809,1,1
1001,3980,6180,1,2
1002,3097,4207,0,1
1003,1631,2741,0,1
1004,1102,2087,0,2
1005,2187,3257,1,9
1006,3101,5967,1,2
1007,1825,6941,0,1
1008,3505,5332,0,2
1009,1404,3544,0,4
1010,4021,6032,0,1
1011,1992,4905,1,1
1012,2074,2245,0,1
1013,1908,3332,1,10
1014,1654,3960,1,7
1015,2249,5520,1,2
1016,1114,7515,1,2
1017,4716,7445,1,2
1018,2860,3773,0,2
1019,6727,7479,1,1
1020,132,435,0,1
1021,4776,6603,1,1
1022,2412,5410,1,3
1023,992,5651,1,3
1024,1377,6713,0,1
1025,2101,3809,1,2
1026,3300,6508,1,6
1027,1987,3706,0,1
1028,739,3948,0,1
1029,679,1363,1,2
1030,1631,3121,0,1
1031,30,2446,1,1
1032,2468,5019,1,5
1033,2282,6327,0,1
1034,3834,6508,0,1
1035,4515,6888,0,3
1036,1024,2021,0,1
1037,1806,2280,1,4
1038,2436,7009,1,1
1039,2728,3742,0,1
1040,916,2715,0,1
1041,5669,5808,0,1
1042,5329,7405,1,4
1043,1076,7160,0,1
1044,6546,6826,0,1
1045,2514,4832,0,1
1046,669,1199,0,1
1047,504,3569,1,1
1048,0,5125,0,1
1049,4086,6498,1,1
1050,2788,3415,0,2
1051,2000,6960,1,1
1052,1758,6263,0,1
1053,3762,4021,0,1
1054,33,2482,0,2
1055,5415,5790,1,1
1056,4649,5459,0,1
1057,1588,5658,1,4
1058,2464,5132,1,4
1059,4,4870,0,2
1060,601,1262,0,1
1061,2866,5997,0,1
1062,2696,5655,0,1
1063,3760,4129,0,1
1064,184,3213,0,1
1065,2746,6433,0,1
1066,3416,4065,0,1
1067,4611,6573,1,1
1068,6285,7190,1,3
1069,2880,2970,0,5
1070,2283,6891,0,1
1071,908,1867,0,1
1072,5204,6806,0,1
1073,4146,5383,1,9
1074,5956,7242,1,1
1075,108,5854,1,1
1076,448,4718,1,2
1077,2307,2975,0,1
1078,5565,6502,0,1
1079,3544,4031,1,15
1080,196,7475,0,1
1081,358,4153,0,1
1082,2297,4859,1,2
1083,4031,5026,1,12
1084,678,6551,1,4
1085,2157,2490,1,2
1086,2746,5203,0,1
1087,810,2954,0,1
1088,2564,4968,0,2
1089,2338,3112,0,1
1090,850,917,0,1
1091,6181,6663,1,1
1092,291,7377,1,3
1093,5937,7518,1,2
1094,4408,6363,1,1
1095,6333,6891,1,1
1096,1417,2367,1,1
1097,221,5509,0,1
1098,1868,5491,0,4
1099,1164,7426,1,2
1100,504,4509,1,1
1101,549,782,0,1
1102,7134,7177,1,1
1103,1071,2358,0,2
1104,3252,4676,0,2
1105,5666,6658,0,1
1106,4744,6357,0,1
1107,7,1924,0,1
1108,731,4167,1,1
1109,2963,3332,1,6
1110,1884,3527,0,1
1111,2708,3215,0,1
1112,6108,7177,1,6
1113,24,3108,1,1
1114,1207,7225,0,1
1115,336,1644,1,2
1116,2330,5673,1,4
1117,5100,5636,1,1
1118,5446,6835,1,3
1119,79,5623,0,1
1120,437,5266,0,1
1121,4221,4734,1,4
1122,3312,4034,0,1
1123,4862,7174,0,3
1124,2695,4163,1,1
1125,2368,6479,0,3
1126,80,1972,0,1
1127,2347,2757,0,1
1128,4404,5065,0,1
1129,3806,6551,1,1
1130,2442,5864,1,5
1131,4629,5147,0,1
1132,1391,2531,1,1
1133,390,6196,1,2
1134,3526,5496,1,1
1135,674,2265,1,4
1136,3032,4517,1,2
1137,4300,4355,0,1
1138,2074,3177,0,1
1139,930,6024,1,4
1140,2653,6215,0,1
1141,3103,4922,1,2
1142,306,7272,1,3
1143,6822,7231,1,1
1144,1173,5184,0,1
1145,1820,2226,0,1
1146,1264,4255,0,1
1147,2510,2625,1,5
1148,6932,7426,1,1
1149,1017,1713,0,3
1150,5545,6147,0,1
1151,880,5387,0,1
1152,2970,4294,1,6
1153,5358,5728,1,2
1154,678,2689,0,1
1155,3517,5163,0,1
1156,3101,4745,0,1
1157,2549,3543,1,3
1158,1156,4225,0,1
1159,1548,5026,1,11
1160,2216,3314,1,5
1161,7280,7557,1,1
1162,1360,3386,1,3
1163,2025,2860,0,2
1164,1429,3562,0,1
1165,4546,5303,0,1
1166,1686,4781,1,6
1167,2857,3119,1,4
1168,1306,4376,0,1
1169,851,6889,1,4
1170,1548,5955,1,5
1171,353,1927,0,1
1172,2653,3809,1,1
1173,3247,3809,1,1
1174,1368,5874,1,1
1175,1200,3497,0,1
